,entry_id,entity_id,accession
428,1fie,1,P00488
429,1fim,1,P30904
430,1fiv,1,P16088
431,1fjg,13,Q5SHN3
432,1fjt,1,P00800
433,1fjv,1,P00800
434,1fk2,1,P19656
435,1fka,6,Q5SLP8
436,1fka,7,P17291
437,1fkp,2,P04585
438,1fkv,1,P00712
439,1fkx,1,P03958
440,1fph,3,P28506
441,1fpp,2,Q04631
442,1fq7,1,P07267
443,1fq9,1,P09038
444,1fqj,2,O46469
445,1fqy,1,P29972
446,1fr2,1,P13479
447,1fr3,1,Q7SIF7
448,1fr7,1,P00918
449,1fri,1,P00214
450,1frr,1,P00235
451,1fs8,1,Q9S1E5
452,1fss,1,P04058
453,1fsw,1,P00811
454,1fyj,1,P07814
455,1fyk,2,P22121
456,1fyl,2,P22121
457,1fyr,2,P08581
458,1fyt,2,P01911
459,1fyt,4,P01848
460,1fyz,3,P11987
461,1fz0,1,P22869
462,1fz0,3,P11987
463,1fz2,3,P11987
464,1fz6,1,P22869
465,1fzg,3,P02679
466,1fzh,1,P22869
467,1fzj,1,P01901
468,1g0a,2,P02070
469,1g0j,1,P00720
470,1g0u,13,P30657
471,1g0u,14,P38624
472,1g0u,3,P40303
473,1g0v,1,P07267
474,1g0y,1,P14778
475,1g11,1,Q00459
476,1g16,1,P07560
477,1g1p,1,P60513
478,1g7f,1,P18031
479,1g7h,3,P00698
480,1g7j,3,P00698
481,1g7t,1,O26359
482,1g7w,1,P00509
483,1g9n,2,P01730
484,1g9r,1,Q93EK7
485,1ga3,1,P35225
486,1gah,1,P69327
487,1gaz,1,P61626
488,1gb4,1,P19909
489,1gbm,1,P00778
490,1gbn,1,P04181
491,1gbr,1,Q60631
492,1gbv,1,P69905
493,1gbv,2,P68871
494,1gc0,1,P13254
495,1gc1,2,P01730
496,1gc4,1,Q56232
497,1gc5,1,Q7M537
498,1gc9,1,Q5SIY4
499,1gcc,3,O80337
500,1gcv,2,Q9YGW1
501,1gd0,1,P14174
502,1gd7,1,Q9AQH8
503,1gki,1,Q04230
504,1gko,1,P02766
505,1gkx,1,Q00972
506,1gl0,2,P80060
507,1gl1,1,P00766
508,1gl1,2,P80060
509,1gl2,1,Q9WUF4
510,1gl5,1,P24604
511,1gld,2,P0A6F3
512,1gln,1,P27000
513,1gm8,1,P06875
514,1gmc,2,P00766
515,1gme,1,Q41560
516,1gmh,2,P00766
517,1gmi,1,P09216
518,1gmq,1,P05798
519,1gmw,2,P18317
520,1gn6,1,P9WGE7
521,1gnt,1,P31101
522,1gnw,1,P46422
523,1gny,1,Q59675
524,1go4,2,Q9Y6D9
525,1go8,1,P16317
526,1go9,1,P06850
527,1gof,1,P0CS93
528,1goo,1,P23360
529,1gtz,1,P15474
530,1gu6,1,P0ABK9
531,1guh,1,P08263
532,1gun,1,P08854
533,1gut,1,P08854
534,1guu,1,P06876
535,1guw,1,P83917
536,1gv2,1,P06876
537,1gv9,1,Q62902
538,1gvl,1,Q92876
539,1gvu,2,P01017
540,1gw7,1,P22535
541,1gwc,1,O04941
542,1gwh,1,P29422
543,1gwk,1,Q9C171
544,1gwm,1,Q9C171
545,1gwn,1,P61588
546,1gwr,1,P03372
547,1gwz,1,P29350
548,1h1s,1,P24941
549,1h1t,1,P0A6I6
550,1h1x,1,P02185
551,1h24,3,Q01094
552,1h26,1,P24941
553,1h28,1,P24941
554,1h28,2,P20248
555,1h2a,1,P21853
556,1h2g,1,P06875
557,1h2y,1,P23687
558,1h31,1,Q939U1
559,1h32,1,Q939U1
560,1h33,1,Q939U1
561,1h38,1,P00573
562,1h3a,1,P33247
563,1h3b,1,P33247
564,1h3x,1,P01857
565,1h4i,1,P16027
566,1h9b,1,P11411
567,1h9d,1,Q01196
568,1h9g,1,P0A8V6
569,1h9y,1,P72181
570,1hae,1,Q02297
571,1hb2,1,P05326
572,1hbb,1,P69905
573,1hbb,2,P68871
574,1hbn,1,P11558
575,1hbz,1,P29422
576,1hc1,1,P04254
577,1hcd,1,P13231
578,1hck,1,P24941
579,1hcn,2,P0DN86
580,1hjw,1,P36222
581,1hkl,1,P01834
582,1hko,1,P00171
583,1hku,1,Q9Z2F5
584,1hl9,1,Q9WYE2
585,1hlp,1,Q07841
586,1hls,2,P01308
587,1hlt,1,P00734
588,1hm7,1,Q55012
589,1hma,1,Q05783
590,1hmk,1,P00712
591,1hnd,1,P0A6R0
592,1hni,2,P03367
593,1hnu,1,Q05871
594,1htm,2,P03437
595,1hto,1,P9WN39
596,1htw,1,P44492
597,1htx,1,P80403
598,1hu3,1,O43432
599,1hu9,1,P09186
600,1huh,1,P00915
601,1hum,1,P13236
602,1huo,3,P06766
603,1hup,1,P11226
604,1huu,1,P0A3H0
605,1huy,1,P42212
606,1hv8,1,Q58083
607,1hv9,1,P0ACC7
608,1hvg,1,P08758
609,1hvh,1,P04585
610,1hvj,1,P04587
611,1hvk,1,P03366
612,1hvu,2,P03366
613,1hw1,1,P0A8V6
614,1hw9,1,P04035
615,1hwg,2,P10912
616,1hwl,1,P04035
617,1i2n,1,P0A870
618,1i30,1,P0AEK4
619,1i36,1,O27779
620,1i37,1,P15207
621,1i3o,2,P42574
622,1i3o,3,P98170
623,1i3q,8,P22139
624,1i3q,10,P40422
625,1i3r,2,P04230
626,1i44,1,P06213
627,1i4e,2,Q14790
628,1i4j,1,P48286
629,1i4k,1,O29386
630,1i4o,1,P55210
631,1i4r,1,P34071
632,1i4u,1,P80029
633,1i57,1,P18031
634,1i5d,1,Q56310
635,1i5h,1,Q62940
636,1i5r,1,P14061
637,1i5u,1,P00171
638,1i5y,1,Q76270
639,1i6c,1,Q13526
640,1i6q,1,Q9TUM0
641,1i6v,3,Q9KWU6
642,1i6w,1,P37957
643,1i72,2,P17707
644,1i75,1,P05618
645,1i78,1,P09169
646,1ibj,1,P53780
647,1ibl,13,Q5SHN7
648,1ibl,14,P80376
649,1ibl,22,Q5SHP2
650,1ibm,18,Q5SJ76
651,1ibm,21,Q5SLQ0
652,1ibq,1,Q12567
653,1ibv,2,P00862
654,1iby,1,Q820S6
655,1ic4,1,P01642
656,1icj,1,P0A6K3
657,1id3,2,P61830
658,1id3,5,P02294
659,1id4,1,P16753
660,1id5,2,P00735
661,1idg,1,P60615
662,1idg,2,P02710
663,1idm,1,Q5SIY4
664,1idt,1,P38489
665,1idy,1,P06876
666,1idz,1,P06876
667,1ie7,1,P41022
668,1ied,1,P16753
669,1iei,1,P15121
670,1iel,1,P00811
671,1iio,1,Q04926
672,1ij1,1,P03069
673,1ija,1,Q9S446
674,1ijb,1,P04275
675,1ijd,1,P35089
676,1ijg,1,P04332
677,1ijh,1,P12676
678,1ijk,2,P22029
679,1ijl,1,Q7SID6
680,1ijn,1,P02766
681,1ijv,1,P60022
682,1ikn,3,P25963
683,1ikv,1,P03366
684,1ikx,1,P03366
685,1il5,1,P02879
686,1ilt,1,P18510
687,1ily,1,P80320
688,1im9,1,P10321
689,1ime,1,P29218
690,1imi,1,P50983
691,1imt,1,P25687
692,1imu,1,P71346
693,1in0,1,P44096
694,1in8,1,Q56313
695,1io1,1,P06179
696,1io4,5,Q08024
697,1iv4,1,Q8RQP5
698,1ivh,1,P26440
699,1ivj,1,P06762
700,1ivr,1,P00508
701,1iw8,1,Q9S1A6
702,1iwf,1,P19156
703,1iwh,1,P01958
704,1iwp,3,Q59475
705,1iww,1,P61626
706,1iwx,1,P61626
707,1ix8,1,P00509
708,1ixu,1,P29399
709,1ixx,1,P23806
710,1iy0,1,Q5SI82
711,1iy1,1,Q5SI82
712,1iy3,1,P61626
713,1iy9,1,P70998
714,1iyj,1,P60896
715,1iyn,1,Q8LNY5
716,1iyr,1,O00273
717,1iyy,1,P00651
718,1iz1,1,Q9WXC7
719,1izb,1,P01315
720,1ize,1,P0CU33
721,1izl,6,Q8DIN9
722,1izn,1,P13127
723,1j00,1,P0ADA1
724,1j0a,1,O57809
725,1j6p,1,Q9X034
726,1j6y,1,Q9SL42
727,1j75,2,Q9QY24
728,1j79,1,P05020
729,1j7d,1,Q15819
730,1j7p,1,P0DP23
731,1j7q,1,P04573
732,1j7r,1,P04573
733,1j8c,1,Q9UHD9
734,1j8s,1,Q47450
735,1j9c,1,P13726
736,1j9y,1,P49424
737,1jaj,1,P42494
738,1jar,1,P12488
739,1jaw,1,P15034
740,1jb0,2,P0A407
741,1jb0,7,P0A427
742,1jb0,9,P0A425
743,1jb0,12,Q8DKP6
744,1jb3,1,P31696
745,1jbj,1,P22646
746,1jbq,1,P35520
747,1jby,1,P42212
748,1jc5,1,Q8VQN0
749,1jc8,1,P12488
750,1jca,2,P01308
751,1jhf,1,P0A7C2
752,1jhk,1,Q7TS98
753,1jhm,1,Q05603
754,1ji3,1,Q9L6D3
755,1ji4,1,P43313
756,1jib,1,Q08751
757,1jiu,1,P04547
758,1jiw,1,Q03023
759,1jj1,1,P00698
760,1jj2,5,P12735
761,1jj2,6,P14124
762,1jj2,7,P14135
763,1jj2,11,P29198
764,1jj2,19,P10970
765,1jj2,23,P10971
766,1jjc,1,Q5SGX2
767,1jjc,2,Q5SGX1
768,1jju,1,Q8VUT0
769,1jju,3,Q8VUS8
770,1jk2,3,P08046
771,1jk4,2,P01180
772,1jkb,1,P61626
773,1jkp,3,P03013
774,1jl3,1,P45947
775,1jl7,1,P02216
776,1jli,1,P08700
777,1jlm,1,P11215
778,1jlq,1,P04585
779,1jlv,1,Q7KIF2
780,1jrh,3,P15260
781,1jro,2,O54051
782,1js8,1,O61363
783,1jsc,1,P07342
784,1jsi,2,Q91CD4
785,1jsz,1,P07617
786,1jt7,1,P05230
787,1jtk,1,P19079
788,1jtn,1,P00720
789,1jtu,1,P0A884
790,1jty,1,P0A0N4
791,1ju9,1,P00327
792,1jun,1,P05412
793,1juq,2,P20645
794,1jut,1,P0A884
795,1juy,1,P0A7D4
796,1jv0,1,P00915
797,1jv1,1,Q16222
798,1k0e,1,P05041
799,1k0f,1,P96116
800,1k0j,1,P20586
801,1k0m,1,O00299
802,1k24,1,Q51227
803,1k28,1,P16009
804,1k2m,2,P14737
805,1k2p,1,Q06187
806,1k2s,1,P29476
807,1k34,1,P04578
808,1k35,1,P26276
809,1k36,1,O14944
810,1k3b,3,P53634
811,1k3s,1,A0A0F6AZQ4
812,1k3u,2,P0A2K1
813,1k46,1,P08538
814,1k47,1,Q8DR49
815,1k4l,1,Q8TG90
816,1k4m,1,P0A752
817,1k4q,1,P00390
818,1k4u,2,P14598
819,1k59,1,P03950
820,1k5g,1,P62826
821,1k5g,3,P41391
822,1k5k,1,P04613
823,1k9i,1,Q9NNX6
824,1k9m,5,P12735
825,1k9q,1,P46937
826,1ka6,1,O60880
827,1ka6,2,Q13291
828,1kag,1,P0A6D7
829,1kak,1,P18031
830,1kap,1,Q03023
831,1kb5,2,P04214
832,1kb5,3,P01837
833,1kb9,6,P00127
834,1kbg,3,P11212
835,1kbo,1,P15559
836,1kbq,1,P15559
837,1kbu,3,P06956
838,1khd,1,Q8VP84
839,1khl,1,P00634
840,1ki0,1,P00747
841,1kig,2,P00743
842,1kij,1,Q5SHZ4
843,1kj0,1,O46162
844,1kj3,3,P01887
845,1kj7,2,P20875
846,1kjg,2,P03369
847,1kjm,2,P07151
848,1kol,1,P46154
849,1koy,1,O00273
850,1kpu,3,Q88992
851,1kpv,1,P01901
852,1kqf,3,P0AEK7
853,1kqs,32,P32411
854,1kqs,7,P12735
855,1kqs,15,P12737
856,1kqu,1,P14555
857,1kr2,1,Q9HAN9
858,1kr4,1,Q9X0E6
859,1kra,1,P18316
860,1krl,1,P02881
861,1krr,1,P07464
862,1krs,1,P0A8N3
863,1krt,1,P0A8N3
864,1ksd,1,O77044
865,1ksq,1,Q14766
866,1ksy,3,P03116
867,1ksz,1,P0A7D4
868,1kt2,2,P04230
869,1ktc,1,Q90744
870,1ktg,1,Q9U2M7
871,1kth,1,P12111
872,1ktk,2,P01850
873,1kzm,1,P00433
874,1kzp,1,Q04631
875,1kzv,1,P12520
876,1kzy,2,Q12888
877,1kzz,1,Q13114
878,1l09,1,P00720
879,1l0b,1,O54952
880,1l0l,4,P00125
881,1l0l,9,P13272
882,1l0l,11,P07552
883,1l0n,4,P00125
884,1l0p,1,P29957
885,1l0q,1,Q50245
886,1l0x,1,P01851
887,1l0x,2,P0DJY7
888,1l10,1,P00720
889,1l18,1,P00720
890,1l1i,1,O16119
891,1l1l,1,Q59490
892,1l2e,1,Q92876
893,1l2i,2,Q61026
894,1l2o,1,P24733
895,1l2z,1,O95400
896,1l3c,1,O26249
897,1l3k,1,P09651
898,1l3r,2,P63249
899,1l3x,1,Q90WC0
900,1l4a,2,O46345
901,1l4a,4,Q8T3S4
902,1l4a,5,Q95PA1
903,1l4k,1,Q05603
904,1l4w,1,P60615
905,1l4w,2,P02711
906,1l52,1,P00720
907,1lbw,1,O30298
908,1lc5,1,P97084
909,1lce,1,P00469
910,1lcj,1,P06239
911,1ld3,1,P32396
912,1ld4,2,P03069
913,1ld8,1,P49354
914,1ldi,1,P0AER0
915,1ldj,2,P62877
916,1lds,1,P61769
917,1ldt,2,P80424
918,1ldt,1,P00761
919,1leb,1,P0A7C2
920,1leg,3,Q62425
921,1les,1,P02870
922,1lev,1,P00636
923,1lez,1,P47811
924,1lf8,1,Q9NZ52
925,1lfd,2,P01112
926,1lfh,1,P02788
927,1lfu,3,P41778
928,1lgc,3,P12307
929,1lo1,3,O95718
930,1lo5,1,P01903
931,1loe,1,P04122
932,1lof,2,P12306
933,1lov,1,P00651
934,1low,1,P00651
935,1lp6,1,O26232
936,1lpb,2,P16233
937,1lpc,1,P24476
938,1lpn,1,P20261
939,1lpu,1,P28523
940,1lpv,1,P23023
941,1lq1,3,P06534
942,1lqm,2,P14739
943,1lqs,1,Q13651
944,1lr8,1,P21674
945,1lra,1,P00651
946,1lrj,1,P09147
947,1lrw,1,P12293
948,1lrz,1,P0A0A5
949,1lsc,1,P00698
950,1lsn,1,P00698
951,1lsq,1,P61823
952,1lst,1,P02911
953,1lt0,1,P23222
954,1lt3,2,P06717
955,1m08,1,Q47112
956,1m0f,3,P31281
957,1m0z,1,P07359
958,1m18,4,P06897
959,1m18,5,P02281
960,1m19,5,P02281
961,1m1a,4,P06897
962,1m1k,29,P22452
963,1m1k,5,P12735
964,1m1k,11,P29198
965,1m1k,14,P60618
966,1m1k,21,P10972
967,1m1k,24,P14121
968,1m1n,1,P07328
969,1m1s,1,Q23246
970,1m1x,2,P05106
971,1m1z,1,P0DJQ7
972,1m25,1,P23907
973,1m2d,1,O66511
974,1m2f,1,Q79PF6
975,1m2k,1,O28597
976,1m2v,1,P15303
977,1m35,1,P15034
978,1m7r,1,Q13614
979,1m7u,1,P38830
980,1m8h,1,P29477
981,1m8n,1,Q9GSA6
982,1m8o,1,P08514
983,1m8q,4,P68135
984,1m8q,1,P13538
985,1m8q,3,P02604
986,1m8u,1,P23005
987,1m8w,5,Q14671
988,1m90,29,P32410
989,1m90,7,P14124
990,1m90,8,P14135
991,1m90,16,P14123
992,1m9c,1,P62937
993,1mab,1,P15999
994,1mah,2,P0C1Z0
995,1maq,1,P00508
996,1mas,1,Q27546
997,1mat,1,P0AE18
998,1mav,1,Q9A5I4
999,1mbd,1,P02185
1000,1mbh,1,P06876
1001,1mbk,1,P06876
1002,1mbl,1,P00808
1003,1mbt,1,P08373
1004,1mc5,1,P11766
1005,1mi0,1,Q53291
1006,1mi1,1,Q8NFP9
1007,1mi8,1,Q55418
1008,1mih,1,P0AE67
1009,1miy,1,Q7SIB1
1010,1mj1,4,P0CE47
1011,1mjh,1,Q57997
1012,1mji,2,P41201
1013,1mjq,2,P0A8U6
1014,1mjy,1,P0A7A9
1015,1mmy,1,Q9ZB17
1016,1mn4,1,P38830
1017,1mn8,1,P03332
1018,1mn9,1,P22887
1019,1mni,1,P02189
1020,1mns,1,P11444
1021,1mo3,1,P9WHJ3
1022,1mo5,1,P9WHJ3
1023,1moe,1,P01660
1024,1mof,1,P03385
1025,1mom,1,P16094
1026,1mot,1,P23415
1027,1mox,1,P00533
1028,1mp0,1,P11766
1029,1mpa,1,A2NHM3
1030,1mpo,1,P02943
1031,1mpy,1,P06622
1032,1mq2,4,P06746
1033,1mq6,1,P00742
1034,1mqa,1,P20701
1035,1mqg,1,P19491
1036,1mqt,3,Q8B8X4
1037,1mqy,1,P43683
1038,1mx5,1,P23141
1039,1mx8,1,P02696
1040,1mxn,1,P56640
1041,1mxv,1,P19491
1042,1mxw,1,P19491
1043,1n3y,1,P20702
1044,1n46,1,P10828
1045,1n4c,1,Q27974
1046,1n4j,1,P22629
1047,1n4l,3,P03355
1048,1n4n,1,Q8H6Q1
1049,1n4p,1,Q04631
1050,1n51,1,P15034
